#parcel name,container name,container type,container position,protein acronym,sample acronym
Dewar1,CPS-5469,Unipuck,4,HUMA,H10_17
Dewar1,CPS-5469,Unipuck,5,HUMA,H11_17
Dewar1,CPS-5469,Unipuck,6,HUMA,H11_18
Dewar1,CPS-5469,Unipuck,7,HUMA,H11_19
Dewar1,CPS-5469,Unipuck,8,HUMA,H11_20
Dewar1,CPS-5469,Unipuck,9,HUMA,H11_21
Dewar1,CPS-5469,Unipuck,10,HUMA,H11_22
Dewar1,CPS-5469,Unipuck,11,HUMA,H11_23
Dewar1,CPS-5469,Unipuck,12,HUMA,H11_24
Dewar1,CPS-5469,Unipuck,13,HUMA,H11_25
Dewar1,CPS-5469,Unipuck,14,HUMA,H11_26
Dewar1,CPS-5469,Unipuck,15,HUMA,H11_27
Dewar1,CPS-5469,Unipuck,16,HUMA,H11_28
Dewar1,CPS-5468,Unipuck,1,JAVI,J1299_1
Dewar1,CPS-5468,Unipuck,2,JAVI,J1299_2
Dewar1,CPS-5468,Unipuck,3,JAVI,J1299_3
Dewar1,CPS-5468,Unipuck,4,JAVI,J1295_2
Dewar1,CPS-5468,Unipuck,5,JAVI,J1295_3
Dewar1,CPS-5468,Unipuck,6,JAVI,J1295_4
Dewar1,CPS-5468,Unipuck,7,JAVI,J1295_5
Dewar1,CPS-5468,Unipuck,8,JAVI,J1295_6
Dewar1,CPS-5468,Unipuck,9,JAVI,J1295_7
Dewar1,CPS-5468,Unipuck,10,JAVI,J1295_8
Dewar1,CPS-5468,Unipuck,11,JAVI,J1299_4
Dewar1,CPS-5468,Unipuck,12,JAVI,J1299_5
Dewar1,CPS-5468,Unipuck,13,JAVI,J1299_6
Dewar1,CPS-5468,Unipuck,14,JAVI,J1295_9
Dewar1,CPS-5468,Unipuck,15,JAVI,J1295_10
Dewar1,CPS-5468,Unipuck,16,JAVI,J1295_11
